RESOLUÇÃO,CTT,N°,DEMANDA,ATIVO/RECEPTIVO,DIRETOR,BANCO,RESPONSÁVEL,  ,
17/01/2025,217933,2,50% á 80%,ATIVO,JULIO,BV FINANCEIRA,ANA LIDIA,RESOLVIDO,APROVADO
17/01/2025,222754,1,50% á 80%,ATIVO,JULIO,OMNI,IGOR,RESOLVIDO,
17/01/2025,190117,3,50% Á 80%,ATIVO,JULIO,BRADESCO,FELIPE,RESOLVIDO,APROVADO
20/01/2025,85788,1,50% á 80%,ATIVO,JULIO,BRADESCO,ANA LIDIA,RESOLVIDO,SEM DESCONTO
20/01/2025,213327,1,50% á 80%,ATIVO,JULIO,SANTANDER,LUARA,RESOLVIDO,
20/01/2025,214453,1,50% á 80%,ATIVO,JULIO,BV FINANCEIRA,YURI,RESOLVIDO,SEM DESCONTO
20/01/2025,194249,1,50% Á 80%,ATIVO,FECHADO,PANAMERICANO,POLIANA,RESOLVIDO,APROVADO
20/01/2025,199084,1,50% Á 80%,ATIVO,JULIO,RENNER,LUARA,RESOLVIDO,
20/01/2025,199106,1,50% Á 80%,ATIVO,JULIO,PANAMERICANO,YURI,RESOLVIDO,APROVADO
20/01/2025,199861,1,50% Á 80%,ATIVO,JULIO,BV FINANCEIRA,NUNO,RESOLVIDO,SEM DESCONTO
21/01/2025,62787,1,50% Á 80%,ATIVO,JULIO,BRADESCO,POLIANA,RESOLVIDO,QUITADO CLIENTE
22/01/2025,87244,1,50% á 80%,ATIVO,JULIO,BRADESCO,FELIPE,RESOLVIDO,AGÊNCIA
21/01/2025,201630,1,50% á 80%,ATIVO,JULIO,OMNI,IGOR,RESOLVIDO,
21/01/2025,196745,1,50% Á 80%,ATIVO,JULIO,SANTANDER,ANA LIDIA,RESOLVIDO,QUITAÇÃO PARCELADA
23/01/2025,209874,1,50% á 80%,ATIVO,JULIO,BV FINANCEIRA,FELIPE,RESOLVIDO,SEM DESCONTO
22/01/2025,58611,1,50% á 80%,ATIVO,JULIO,SAFRA,IGOR,RESOLVIDO,
06/01/2025,217682,3,"15.000,00",RECEPTIVO,JULIO,PANAMERICANO,POLIANA,RESOLVIDO,APROVADO
06/01/2025,212564,1,"3.000,00",RECEPTIVO,JULIO,PANAMERICANO,POLIANA,RESOLVIDO,SEM DESCONTO
06/01/2025,182012,3,VALORES,RECEPTIVO,JULIO,SANTANDER,ALINE,RESOLVIDO,
06/01/2025,217369,2,valores,RECEPTIVO,JULIO,SANTANDER,ANA LIDIA,RESOLVIDO,SEM DESCONTO
06/01/2025,231437,3,"18.000,00",RECEPTIVO,ANTUNES,SANTANDER,IGOR,RESOLVIDO,
06/01/2025,216505,1,"4.000,00",RECEPTIVO,ANTUNES,SANTANDER,FELIPE,RESOLVIDO,APROVADO
07/01/2025,219467,2,valores,RECEPTIVO,JULIO,BV FINANCEIRA,ALINE,RESOLVIDO,APROVADO
08/01/2025,220707,2,"11.162,10",RECEPTIVO,JULIO,BV FINANCEIRA,POLIANA,RESOLVIDO,SEM DESCONTO
07/01/2025,218360,2,"5.000,00",RECEPTIVO,ANTUNES,ITAÚ,THALISSON,RESOLVIDO,APROVADO
08/01/2025,213534,1,valores,RECEPTIVO,JULIO,BV FINANCEIRA,ANA GESSICA,RESOLVIDO,SEM DESCONTO
10/01/2025,208541,1,valores,RECEPTIVO,JULIO,BV FINANCEIRA,FELIPE,RESOLVIDO,SEM DESCONTO
13/01/2025,206521,1,"7.000,00",RECEPTIVO,JULIO,BV FINANCEIRA,ANA LIDIA,RESOLVIDO,SEM DESCONTO
13/01/2025,140900,1,"12.000,00",RECEPTIVO,JULIO,BRADESCO,ALINE,RESOLVIDO,APROVADO
06/01/2025,230423,1,todos os tipos de acordo,ATIVO,JULIO,BRADESCO,JULIANE,RESOLVIDO,CANCELADO
14/01/2025,209609,1,valores,RECEPTIVO,JULIO,OMNI,ANA LIDIA,RESOLVIDO,SEM DESCONTO
21/01/2025,238053,1,valores,RECEPTIVO,JULIO,PANAMERICANO,FELIPE,RESOLVIDO,APROVADO
21/01/2025,57223,2,valores,RECEPTIVO,JULIO,SAFRA,YURI,RESOLVIDO,SEM DESCONTO
22/01/2025,193891,1,valores,RECEPTIVO,JULIO,BV FINANCEIRA,ANA GESSICA,RESOLVIDO,
15/01/2025,235248,1,"R$ 10.000,00",RECEPTIVO,REVERSÃO,BV FINANCEIRA,NUNO,RESOLVIDO,
03/01/2025,194646,1,"R$ 12.000,00",RECEPTIVO,JULIO,SANTANDER,POLIANA,RESOLVIDO,AGUARDANDO COMPROVANTE
03/01/2025,204594,2,VALORES,RECEPTIVO,JULIO,SANTANDER,THALISSON,RESOLVIDO,APROVADO
03/01/2025,229144,1,VALORES,RECEPTIVO,JULIO,SANTANDER,THALISSON,RESOLVIDO,SEM DESCONTO
03/01/2025,178421,1,valores,RECEPTIVO,JULIO,PORTO SEGURO,THALISSON,RESOLVIDO,APROVADO
03/01/2025,211711,3,VALORES,RECEPTIVO,JULIO,BV FINANCEIRA,THALISSON,RESOLVIDO,SEM DESCONTO
06/01/2025,222926,1,"R$ 9.000,00",RECEPTIVO,REVERSÃO,BRADESCO,ADRIANO,RESOLVIDO,APROVADO
10/01/2025,137007,3,VALORES,RECEPTIVO,JULIO,BRADESCO,THALISSON,RESOLVIDO,APROVADO
10/01/2025,169900,1,"R$ 25.000,00",RECEPTIVO,JULIO,BRADESCO,ADRIANO,RESOLVIDO,APROVADO
21/01/2025,223442,3,"R$6.000,00",RECEPTIVO,JULIO,BV FINANCEIRA,ANA LIDIA,RESOLVIDO,SEM DESCONTO
03/01/2025,190699,2,VERIFICAR SE QUTIOU,RECEPTIVO,JULIO,BV FINANCEIRA,MATHEUS,RESOLVIDO,QUITAÇÃO PARCELADA
08/01/2025,224320,2,VALORES,RECEPTIVO,JULIO,ITAÚ,POLIANA,RESOLVIDO,QUITADO CLIENTE
08/01/2025,137007,3,VALORES,RECEPTIVO,JULIO,BRADESCO,NUNO,RESOLVIDO,
15/01/2025,104567,1,VALORES,RECEPTIVO,JULIO,PANAMERICANO,ELISANGELA,RESOLVIDO,REFINANCIAMENTO
03/01/2025,233642,2,"RECEBEU PROPOSTA DE R$4.000,00",RECEPTIVO,JULIO,PANAMERICANO,POLIANA,RESOLVIDO,APROVADO
06/01/2025,217836,1,"R$ 5.000,00",RECEPTIVO,JULIO,ITAÚ,POLIANA,RESOLVIDO,SEM DESCONTO
06/01/2025, 203710,1,"R$15.000,00",RECEPTIVO,JULIO,SANTANDER,ELISANGELA,RESOLVIDO,SEM DESCONTO
06/01/2025,196695,1,CLIENTE SOLICITOU CONTATO,RECEPTIVO,JULIO,BRADESCO,POLIANA,RESOLVIDO,AGUARDANDO COMPROVANTE
06/01/2025,179348 ,1,"R$5.000,00",RECEPTIVO,JULIO,BRADESCO,THALISSON,RESOLVIDO,SEM DESCONTO
08/01/2025,212751,1,"R$ 5.000,00",RECEPTIVO,JULIO,SANTANDER,MATHEUS,RESOLVIDO,APROVADO
03/01/2025,205170,4,VALORES,RECEPTIVO,JULIO,BV FINANCEIRA,THALISSON,RESOLVIDO,SEM DESCONTO
03/01/2025,235409,1,CLIENTE SOLICITOU CONTATO,RECEPTIVO,JULIO,PANAMERICANO,POLIANA,RESOLVIDO,SEM DESCONTO
07/01/2025,228174,1,"R$3.000,00",RECEPTIVO,JULIO,OMNI,ANA LIDIA,RESOLVIDO,SEM DESCONTO
03/01/2025,217460,,VALORES,ATIVO,JULIO,SANTANDER,POLIANA,RESOLVIDO,APROVADO
07/01/2025,194009,,VALORES,RECEPTIVO,JULIO,SANTANDER,POLIANA,RESOLVIDO,AGUARDANDO COMPROVANTE
03/01/2025,210880,,VALORES,ATIVO,JULIO,SANTANDER,POLIANA,RESOLVIDO,APROVADO
03/01/2025,205602,,VALORES,ATIVO,JULIO,SANTANDER,POLIANA,RESOLVIDO,APROVADO
03/01/2025,229290,,VALORES,ATIVO,JULIO,SANTANDER,POLIANA,RESOLVIDO,APROVADO
03/01/2025,216418,1,VALORES,RECEPTIVO,JULIO,BV FINANCEIRA,MATHEUS,RESOLVIDO,
03/01/2025,200874,2,VALORES,RECEPTIVO,JULIO,PANAMERICANO,NUNO,RESOLVIDO,APROVADO
03/01/2025,204990,1,VALORES,RECEPTIVO,JULIO,SANTANDER,NUNO,RESOLVIDO,APROVADO
03/01/2025,185766,2,VALORES,RECEPTIVO,JULIO,SANTANDER,NUNO,RESOLVIDO,AGUARDANDO BOLETO
03/01/2025,208878,1,VALORES,RECEPTIVO,LEANDRO,SANTANDER,ALINE,RESOLVIDO,APROVADO
03/01/2025,231437,3,VALORES,RECEPTIVO,JULIO,SANTANDER,MATHEUS,RESOLVIDO,APROVADO
03/01/2025,200874,2,VALORES,RECEPTIVO,JULIO,SANTANDER,THALISSON,RESOLVIDO,APROVADO
03/01/2025,184322,2,VALORES,RECEPTIVO,JULIO,SANTANDER,MATHEUS,RESOLVIDO,APROVADO
03/01/2025,210140,4,VALORES,RECEPTIVO,FECHADO,BV FINANCEIRA,NUNO,RESOLVIDO,APROVADO
06/01/2025,195510,1,"R$ 6.000,00",RECEPTIVO,JULIO,BV FINANCEIRA,ANA LIDIA,RESOLVIDO,APROVADO
06/01/2025,224331,1,"R$ 9.000,00",RECEPTIVO,JULIO,OMNI,JULIANE,RESOLVIDO,SEM DESCONTO
14/01/2025,218627,,VALORES,ATIVO,JULIO,BV FINANCEIRA,POLIANA,RESOLVIDO,SEM DESCONTO
14/01/2025,75746,1,VALORES,RECEPTIVO,JULIO,SAFRA,IGOR,RESOLVIDO,SEM DESCONTO
06/01/2025,220574,1,"R$ 9.000,00",RECEPTIVO,JULIO,SANTANDER,ANA LIDIA,RESOLVIDO,SEM DESCONTO
06/01/2025,212672,2,"R$ 7.500,00",RECEPTIVO,JULIO,SANTANDER,ALINE,RESOLVIDO,
03/01/2025,215255,4,VALORES,ATIVO,JULIO,SANTANDER,THALISSON,RESOLVIDO,APROVADO
03/01/2025,192854,1,VALORES,ATIVO,JULIO,PANAMERICANO,THALISSON,RESOLVIDO,SEM DESCONTO
06/01/2025,205170,4,VALORES,ATIVO,JULIO,BV FINANCEIRA,THALISSON,RESOLVIDO,APROVADO
08/01/2025,198580 ,4,"R$5.200,00",RECEPTIVO,JULIO,OMNI,THALISSON,RESOLVIDO,SEM DESCONTO
07/01/2025,203785,,valores,RECEPTIVO,JULIO,PANAMERICANO,FELIPE,RESOLVIDO,EM ACORDO
07/01/2025,176181,,"15.000,00",RECEPTIVO,JULIO,PANAMERICANO,THALISSON,RESOLVIDO,SEM DESCONTO
07/01/2025,225381,1,"27.000,00",RECEPTIVO,ANTUNES,ITAÚ,JULIANE,RESOLVIDO,SEM DESCONTO
07/01/2025,180074,2,valores,RECEPTIVO,JULIO,PANAMERICANO,NUNO,RESOLVIDO,APROVADO
07/01/2025,215101,,valores,RECEPTIVO,JULIO,ITAÚ,ALINE,RESOLVIDO,APROVADO
07/01/2025,221878,,"18.000,00",RECEPTIVO,JULIO,SANTANDER,ELISANGELA,RESOLVIDO,APROVADO
07/01/2025,223101,2,"12.000,00",RECEPTIVO,JULIO,PANAMERICANO,ANA LIDIA,RESOLVIDO,SEM DESCONTO
07/01/2025,196159,,10.000.00,RECEPTIVO,JULIO,BRADESCO,THALISSON,RESOLVIDO,SEM DESCONTO
07/01/2025,206463,1,valores,RECEPTIVO,JULIO,SANTANDER,NUNO,RESOLVIDO,SEM DESCONTO
07/01/2025,203277,2,valores,RECEPTIVO,JULIO,SANTANDER,ANA LIDIA,RESOLVIDO,APROVADO
07/01/2025,220707,,"18.603,50",RECEPTIVO,JULIO,BV FINANCEIRA,POLIANA,RESOLVIDO,SEM DESCONTO
07/01/2025,159732,2,"11.000,00",RECEPTIVO,ANTUNES,ITAÚ,THALISSON,RESOLVIDO,APROVADO
07/01/2025,190833,1,valores,RECEPTIVO,JULIO,VOLKSWAGEN,JULIANE,RESOLVIDO,SEM DESCONTO
07/01/2025,223883,1,valores,RECEPTIVO,JULIO,PANAMERICANO,NUNO,RESOLVIDO,APROVADO
07/01/2025,199998,1,"15.200,00",RECEPTIVO,ANTUNES,ITAÚ,ALINE,RESOLVIDO,SEM DESCONTO
07/01/2025,208050,2,valores,RECEPTIVO,JULIO,SANTANDER,ELISANGELA,RESOLVIDO,APROVADO
08/01/2025,196989,3,valores,RECEPTIVO,JULIO,ITAÚ,JULIANE,RESOLVIDO,APROVADO
08/01/2025,189576,1,atualizar parcelas,RECEPTIVO,JULIO,RENNER,NUNO,RESOLVIDO,SEM DESCONTO
08/01/2025,221887,2,valores,RECEPTIVO,JULIO,SANTANDER,ANA GESSICA,RESOLVIDO,SEM DESCONTO
08/01/2025,216421,,"3.500,00",RECEPTIVO,JULIO,BV FINANCEIRA,ALINE,RESOLVIDO,SEM DESCONTO
10/01/2025,208381,1,valores,RECEPTIVO,JULIO,SANTANDER,POLIANA,RESOLVIDO,SEM DESCONTO
13/01/2025,198527,1,valores,RECEPTIVO,JULIO,BRADESCO,FELIPE,RESOLVIDO,SEM DESCONTO
13/01/2025,229229,2,"20.000,00",RECEPTIVO,JULIO,GMAC,THALISSON,RESOLVIDO,SEM DESCONTO
13/01/2025,209724,2,valores,RECEPTIVO,JULIO,PANAMERICANO,MATHEUS,RESOLVIDO,APROVADO
14/01/2025,192500,1,"3.600,00",RECEPTIVO,ANTUNES,BRADESCO,ELISANGELA,RESOLVIDO,SEM DESCONTO
17/01/2025,215025,1,valores,RECEPTIVO,JULIO,BRADESCO,ANA GESSICA,RESOLVIDO,AGUARDANDO COMPROVANTE
17/01/2025,56601,1,"40.000,00",RECEPTIVO,JULIO,SAFRA,MATHEUS,RESOLVIDO,
22/01/2025,103095,2,"10.000,00",RECEPTIVO,ANTUNES,VOLKSWAGEN,YURI,RESOLVIDO,SEM DESCONTO
07/01/2025,212060,1,"R$ 6.000,00",RECEPTIVO,JULIO,PANAMERICANO,POLIANA,RESOLVIDO,APROVADO
07/01/2025,204584,1,"R$ 4.000,00",RECEPTIVO,JULIO,BRADESCO,JULIANE,RESOLVIDO,SEM DESCONTO
13/01/2025,211332,1,"R$ 1.500,00",RECEPTIVO,JULIO,SANTANDER,IGOR,RESOLVIDO,SEM DESCONTO
15/01/2025,224359,1,"R$ 2.700,00",RECEPTIVO,JULIO,BV FINANCEIRA,LUARA,RESOLVIDO,
15/01/2025,180195  ,1,"R$ 3.000,00",ATIVO,JULIO,BV FINANCEIRA,YURI,RESOLVIDO,SEM DESCONTO
20/01/2025,225679,2,"R$ 5.000,00",RECEPTIVO,JULIO,OMNI,IGOR,RESOLVIDO,
08/01/2025,186160,2,VALORES,RECEPTIVO,JULIO,SANTANDER,FELIPE,RESOLVIDO,EM ACORDO
08/01/2025,229148,1,"R$ 5.000,00",RECEPTIVO,JULIO,BRADESCO,YURI,RESOLVIDO,SEM DESCONTO
06/01/2025,216754 ,1,"R$ 18.500,00",RECEPTIVO,JULIO,ITAÚ,MATHEUS,RESOLVIDO,APROVADO
06/01/2025,174193 ,1,"R$ 6.000,00",RECEPTIVO,JULIO,PANAMERICANO,MATHEUS,RESOLVIDO,CANCELADO
07/01/2025,204668 ,1,"R$ 9.000,00",RECEPTIVO,JULIO,PANAMERICANO,POLIANA,RESOLVIDO,AGUARDANDO COMPROVANTE
07/01/2025,196507 ,2,"R$ 10.500,00",ATIVO,JULIO,SANTANDER,NUNO,RESOLVIDO,APROVADO
07/01/2025,208800 ,2,"R$11.000,00",RECEPTIVO,JULIO,SANTANDER,POLIANA,RESOLVIDO,SEM DESCONTO
08/01/2025,220927 ,1,"R$3.500,00",RECEPTIVO,JULIO,RCI,FELIPE,RESOLVIDO,SEM DESCONTO
08/01/2025,230638,1,"R$ 6.000,00",RECEPTIVO,JULIO,SANTANDER,POLIANA,RESOLVIDO,SEM DESCONTO
08/01/2025,188419,1,"R$ 5.000,00",RECEPTIVO,JULIO,PANAMERICANO,IGOR,RESOLVIDO,
20/01/2025,212507,1,VALORES,RECEPTIVO,JULIO,BV FINANCEIRA,YURI,RESOLVIDO,SEM DESCONTO
22/01/2025,219576 ,1,"R$ 10.000,00",ATIVO,JULIO,PANAMERICANO,MATHEUS,RESOLVIDO,APROVADO
07/01/2025,219313 ,1,"R$ 5.000,00",ATIVO,JULIO,SANTANDER,NUNO,RESOLVIDO,SEM DESCONTO
08/01/2025,237904,2,VALORES,ATIVO,JULIO,SANTANDER,LUARA,RESOLVIDO,
06/01/2025,184322,2,VALORES,RECEPTIVO,JULIO,SANTANDER,MATHEUS,RESOLVIDO,QUITADO EMPRESA
08/01/2025,194049,5,"R$ 8.000,00",ATIVO,JULIO,ITAÚ,NUNO,RESOLVIDO,APROVADO
10/01/2025,190942,2,VALORES,RECEPTIVO,JULIO,OMNI,THALISSON,RESOLVIDO,SEM DESCONTO
07/01/2025,205858,2,VALORES,ATIVO,JULIO,BRADESCO,MATHEUS,RESOLVIDO,
07/01/2025,205851,4,VALORES,ATIVO,JULIO,ITAÚ,ALINE,RESOLVIDO,
07/01/2025,205855,4,VALORES,ATIVO,JULIO,BRADESCO,ELISANGELA,RESOLVIDO,SEM DESCONTO
08/01/2025,137007,3,"R$ 6.000,00",ATIVO,JULIO,BRADESCO,MATHEUS,RESOLVIDO,
21/01/2025,224320,2,VERIFICAR SE NEGOCIOU ,RECEPTIVO,JULIO,ITAÚ,LUARA,RESOLVIDO,CANCELADO
08/01/2025,210645,1,50% Á 80%,RECEPTIVO,JULIO,SANTANDER,LUARA,RESOLVIDO,
14/01/2025,168478,1,VALORES,RECEPTIVO,JULIO,BRADESCO,FELIPE,RESOLVIDO,CANCELADO
08/01/2025,214217,2,"R$ 26.000,00",RECEPTIVO,JULIO,BRADESCO,ANA LIDIA,RESOLVIDO,SEM DESCONTO
08/01/2025,214217 ,2,"R$ 26.000,00",RECEPTIVO,JULIO,BRADESCO,JULIANE,RESOLVIDO,SEM DESCONTO
07/01/2025,218006 ,2,"R$ 1.705,00",RECEPTIVO,JULIO,SANTANDER,ANA LIDIA,RESOLVIDO,SEM DESCONTO
07/01/2025,218045 ,1,"R$ 5.890,00",ATIVO,JULIO,SANTANDER,POLIANA,RESOLVIDO,SEM DESCONTO
07/01/2025, 223733,2,"R$4.500,00",RECEPTIVO,JULIO,PANAMERICANO,THALISSON,RESOLVIDO,SEM DESCONTO
14/01/2025,232534,1,"2.100,0 á 2.900",ATIVO,JULIO,BV FINANCEIRA,ANA LIDIA,RESOLVIDO,SEM DESCONTO
08/01/2025,220227,2,"R$ 5.500,00",ATIVO,JULIO,BV FINANCEIRA,ANA GESSICA,RESOLVIDO,
10/01/2025,209700,1,"R$ 13.000,00",ATIVO,JULIO,SANTANDER,JULIANE,RESOLVIDO,QUITADO EMPRESA
10/01/2025,89207 ,2,VALORES,ATIVO,JULIO,VOLKSWAGEN,POLIANA,RESOLVIDO,SEM DESCONTO
15/01/2025,232856 ,1,"R$ 7.000,00",ATIVO,JULIO,SANTANDER,THALISSON,RESOLVIDO,SEM DESCONTO
06/01/2025,200698 ,2,"60.000,00 á 74.000,00",RECEPTIVO,JULIO,ITAÚ,MATHEUS,RESOLVIDO,APROVADO
06/01/2025,213422 ,2,"R$ 60.000,00",RECEPTIVO,JULIO,ITAÚ,MATHEUS,RESOLVIDO,APROVADO
07/01/2025,208975,1,"R$ 13.000,00",ATIVO,JULIO,ITAÚ,ELISANGELA,RESOLVIDO,APROVADO
08/01/2025,214702 ,1,"R$ 5.000,00",ATIVO,JULIO,PANAMERICANO,NUNO,RESOLVIDO,APROVADO
08/01/2025,182593,2,"R$ 3.300,00",RECEPTIVO,JULIO,SANTANDER,ANA LIDIA,RESOLVIDO,APROVADO
06/01/2025,159732,2,VALORES,ATIVO,JULIO,ITAÚ,THALISSON,RESOLVIDO,APROVADO
07/01/2025,192834 ,2,"R$ 5.000,00",ATIVO,JULIO,PANAMERICANO,POLIANA,RESOLVIDO,APROVADO
07/01/2025,223717 ,5,"R$ 6.000,00",ATIVO,JULIO,BV FINANCEIRA,THALISSON,RESOLVIDO,SEM DESCONTO
07/01/2025,216356,1,"R$15.000,00",RECEPTIVO,JULIO,SANTANDER,THALISSON,RESOLVIDO,APROVADO
07/01/2025,106548,2,50% Á 80%,RECEPTIVO,JULIO,OMNI,JULIANE,RESOLVIDO,SEM DESCONTO
08/01/2025,209155 ,2,"R$ 10.000,00",RECEPTIVO,JULIO,BV FINANCEIRA,ELISANGELA,RESOLVIDO,SEM DESCONTO
07/01/2025,224049,1,"R$ 30.000,00",RECEPTIVO,JULIO,SANTANDER,ANA LIDIA,RESOLVIDO,AGUARDANDO PROCURAÇÃO
06/01/2025,233753,1,"R$ 7.000,00",RECEPTIVO,JULIO,SANTANDER,MATHEUS,RESOLVIDO,APROVADO
10/01/2025,224142,1,VALORES,RECEPTIVO,JULIO,BRADESCO,ELISANGELA,RESOLVIDO,AGÊNCIA
08/01/2025,191590 ,2,valores,ATIVO,JULIO,ITAÚ,ANA LIDIA,RESOLVIDO,APROVADO
14/01/2025,232930 ,1,VALORES,RECEPTIVO,JULIO,SANTANDER,JULIANE,RESOLVIDO,SEM DESCONTO
06/01/2025,220135,1,VALORES,RECEPTIVO,JULIO,BRADESCO,JULIANE,RESOLVIDO,SEM DESCONTO
06/01/2025,182311,2,VALORES,RECEPTIVO,JULIO,BRADESCO,MATHEUS,RESOLVIDO,
06/01/2025,186160,2,VALORES,RECEPTIVO,JULIO,SANTANDER,NUNO,RESOLVIDO,AGUARDANDO MINUTA E BOLETO
06/01/2025,165582,2,"R$ 40.000,00",RECEPTIVO,JULIO,SAFRA,NUNO,RESOLVIDO,SEM DESCONTO
06/01/2025,205690,1,VALORES,RECEPTIVO,JULIO,BV FINANCEIRA,ANA LIDIA,RESOLVIDO,APROVADO
06/01/2025,212675,,VALORES,RECEPTIVO,JULIO,PANAMERICANO,FELIPE,RESOLVIDO,APROVADO
06/01/2025,189494,,VALORES,RECEPTIVO,JULIO,PANAMERICANO,FELIPE,RESOLVIDO,APROVADO
06/01/2025,213208,,VALORES,RECEPTIVO,JULIO,BRADESCO,FELIPE,RESOLVIDO,APROVADO
06/01/2025,223717,,VALORES,RECEPTIVO,JULIO,BV FINANCEIRA,FELIPE,RESOLVIDO,SEM DESCONTO
06/01/2025,217313,,VALORES,RECEPTIVO,JULIO,PANAMERICANO,FELIPE,RESOLVIDO,APROVADO
06/01/2025,167445,,"R$ 8.500,00",ATIVO,JULIO,OMNI,POLIANA,RESOLVIDO,AGUARDANDO COMPROVANTE
07/01/2025,199034,1,"R$ 12.000,00",RECEPTIVO,JULIO,SANTANDER,NUNO,RESOLVIDO,AGUARDANDO BOLETO
06/01/2025,220385,1,VALORES,ATIVO,JULIO,ITAÚ,ALINE,RESOLVIDO,AGUARDANDO COMPROVANTE
15/01/2025,202666,1,VALORES,RECEPTIVO,JULIO,BRADESCO,ALINE,RESOLVIDO,AGUARDANDO COMPROVANTE
06/01/2025,222520 ,3,VALORES,RECEPTIVO,JULIO,SANTANDER,MATHEUS,RESOLVIDO,
07/01/2025,205851,4,50%,RECEPTIVO,JULIO,ITAÚ,FELIPE,RESOLVIDO,EM ACORDO
20/01/2025,57223 ,2,valores,ATIVO,JULIO,SAFRA,YURI,RESOLVIDO,AGUARDANDO PROCURAÇÃO
08/01/2025,205855,4,"R$ 15.000,00",ATIVO,JULIO,SANTANDER,JULIANE,RESOLVIDO,
09/01/2025,197712,2,"R$ 5.000,00",ATIVO,JULIO,PANAMERICANO,NUNO,RESOLVIDO,SEM DESCONTO
13/01/2025,205855,4,50%,ATIVO,JULIO,BRADESCO,FELIPE,RESOLVIDO,EM ACORDO
07/01/2025,110839 ,1,VALORES,ATIVO,JULIO,BV FINANCEIRA,ALINE,RESOLVIDO,SEM DESCONTO
06/01/2025,212672,2,VALORES,ATIVO,JULIO,SANTANDER,THALISSON,RESOLVIDO,APROVADO
06/01/2025,210689,1,VALORES,ATIVO,JULIO,BV FINANCEIRA,THALISSON,RESOLVIDO,APROVADO
06/01/2025,185581,1,VALORES,ATIVO,JULIO,SANTANDER,THALISSON,RESOLVIDO,APROVADO
07/01/2025,218360,2,VALORES,ATIVO,JULIO,ITAÚ,THALISSON,RESOLVIDO,APROVADO
06/01/2025,214701,1,VALORES,ATIVO,JULIO,PANAMERICANO,THALISSON,RESOLVIDO,APROVADO
06/01/2025,218715,1,VALORES,RECEPTIVO,JULIO,BV FINANCEIRA,ALINE,RESOLVIDO,SEM DESCONTO
08/01/2025,213356,3,"4.500,00",RECEPTIVO,JULIO,PANAMERICANO,ANA LIDIA,RESOLVIDO,SEM DESCONTO
08/01/2025,203258,1,"30.000,00",RECEPTIVO,JULIO,SANTANDER,FELIPE,RESOLVIDO,SEM DESCONTO
08/01/2025,230938,1,valores,RECEPTIVO,JULIO,BRADESCO,JULIANE,RESOLVIDO,TRANSFERÊNCIA
08/01/2025,206137,3,valores,RECEPTIVO,JULIO,SANTANDER,LUARA,RESOLVIDO,
08/01/2025,208027,3,valor,RECEPTIVO,JULIO,OMNI,ANA LIDIA,RESOLVIDO,APROVADO
08/01/2025,212065,1,"8.000,00",RECEPTIVO,ANTUNES,PANAMERICANO,ALINE,RESOLVIDO,APROVADO
08/01/2025,194005,2,"15.000,00",RECEPTIVO,JULIO,BV FINANCEIRA,NUNO,RESOLVIDO,APROVADO
08/01/2025,227928,1,valores,RECEPTIVO,JULIO,PANAMERICANO,YURI,RESOLVIDO,SEM DESCONTO
08/01/2025,212852,2,valores,RECEPTIVO,JULIO,BV FINANCEIRA,ANA LIDIA,RESOLVIDO,SEM DESCONTO
08/01/2025,231940,1,"6.000,00",RECEPTIVO,JULIO,PANAMERICANO,LUARA,RESOLVIDO,
08/01/2025,186679,1,"25.000,00",RECEPTIVO,ANTUNES,PANAMERICANO,POLIANA,RESOLVIDO,QUITADO EMPRESA
08/01/2025,219594,2,"6.000,00",RECEPTIVO,JULIO,PANAMERICANO,ALINE,RESOLVIDO,APROVADO
08/01/2025,213115,2,valores,RECEPTIVO,JULIO,SANTANDER,NUNO,RESOLVIDO,
08/01/2025,202015,2,"3.500,00",RECEPTIVO,JULIO,BV FINANCEIRA,YURI,RESOLVIDO,APROVADO
09/01/2025,191590,2,"10.000,00",RECEPTIVO,JULIO,ITAÚ,LUARA,RESOLVIDO,
09/01/2025,176503,2,"5.000,00",RECEPTIVO,JULIO,SANTANDER,FELIPE,RESOLVIDO,APROVADO
08/01/2025,194674,1,"15.000,00",RECEPTIVO,JULIO,PANAMERICANO,IGOR,RESOLVIDO,
08/01/2025,183130,2,valores,RECEPTIVO,JULIO,ITAÚ,ELISANGELA,RESOLVIDO,APROVADO
08/01/2025,206137,3,valores,RECEPTIVO,JULIO,SANTANDER,THALISSON,RESOLVIDO,APROVADO
08/01/2025,200296,1,"15.000,00",RECEPTIVO,ANTUNES,BV FINANCEIRA,ELISANGELA,RESOLVIDO,APROVADO
08/01/2025,213766,3,valores,RECEPTIVO,JULIO,PANAMERICANO,THALISSON,RESOLVIDO,SEM DESCONTO
10/01/2025,213115,2,valores,RECEPTIVO,JULIO,SANTANDER,JULIANE,RESOLVIDO,QUITADO EMPRESA
10/01/2025,177666,1,"4.000,00",RECEPTIVO,ANTUNES,PANAMERICANO,YURI,RESOLVIDO,SEM DESCONTO
09/01/2025,217630,1,"10.000,00",RECEPTIVO,JULIO,PANAMERICANO,YURI,RESOLVIDO,AGUARDANDO COMPROVANTE
08/01/2025,213766,3,valores,RECEPTIVO,JULIO,PANAMERICANO,ELISANGELA,RESOLVIDO,APROVADO
13/01/2025,153012,2,valores,RECEPTIVO,JULIO,BV FINANCEIRA,ALINE,RESOLVIDO,
15/01/2025,194832,1,valores,RECEPTIVO,JULIO,BRADESCO,THALISSON,RESOLVIDO,APROVADO
